"MLS #","Status","ListPrice","SalePrice","Days On Market","Zip"
"10215767","CLOSD","$100,000","$100,000","12","38117"
"10211128","CLOSD","$119,900","$100,000","62","38109"
"10214125","CLOSD","$114,000","$100,000","6","38111"
"10207417","CLOSD","$115,000","$100,000","3","38111"
"10199378","CLOSD","$100,000","$100,000","109","38114"
"10196335","CLOSD","$104,900","$100,000","83","38109"
"10202415","CLOSD","$100,000","$100,000","7","38114"
"10209178","CLOSD","$110,500","$100,000","75","38115"
"10202887","CLOSD","$104,900","$100,000","57","38116"
"10215864","CLOSD","$100,000","$100,000","0","38116"
"10204277","CLOSD","$125,000","$100,000","44","38053"
"10204279","CLOSD","$125,000","$100,000","44","38053"
"10204282","CLOSD","$125,000","$100,000","44","38053"
"10195765","CLOSD","$105,000","$100,000","7","38108"
"10213438","CLOSD","$135,000","$100,000","32","38116"
"10204283","CLOSD","$125,000","$100,000","44","38053"
"10197312","CLOSD","$100,000","$100,000","18","38127"
"10209471","CLOSD","$100,000","$100,000","1","38122"
"10210915","CLOSD","$125,000","$100,000","74","38127"
"10196248","CLOSD","$112,900","$100,000","230","38127"
"10209883","CLOSD","$110,000","$100,000","3","38127"
"10207135","CLOSD","$115,000","$100,000","7","38122"
"10199109","CLOSD","$100,000","$100,000","4","38127"
"10205738","CLOSD","$114,900","$100,000","77","38106"
"10211238","CLOSD","$120,750","$100,000","53","38112"
"10206556","CLOSD","$109,900","$101,000","48","38111"
"10212820","CLOSD","$135,000","$101,000","14","38109"
"10198840","CLOSD","$119,900","$101,000","2","38118"
"10204582","CLOSD","$109,900","$101,000","70","38118"
"10199585","CLOSD","$109,900","$101,000","6","38127"
"10201233","CLOSD","$109,900","$101,000","219","38127"
"10215396","CLOSD","$101,000","$101,000","0","38104"
"10207995","CLOSD","$110,000","$101,000","125","38128"
"10173267","CLOSD","$99,000","$101,090","310","38107"
"10199954","CLOSD","$117,250","$101,100","56","38118"
"10211987","CLOSD","$100,000","$101,200","30","38127"
"10203876","CLOSD","$105,000","$101,500","41","38127"
"10195511","CLOSD","$109,900","$101,850","11","38109"
"10197989","CLOSD","$105,000","$102,000","66","38111"
"10187669","CLOSD","$109,000","$102,000","95","38109"
"10210091","CLOSD","$102,000","$102,000","69","38109"
"10206412","CLOSD","$118,000","$102,000","10","38118"
"10201097","CLOSD","$102,000","$102,000","1","38118"
"10210889","CLOSD","$104,900","$102,000","11","38118"
"10208507","CLOSD","$120,000","$102,000","9","38118"
"10190545","CLOSD","$115,000","$102,000","126","38116"
"10195241","CLOSD","$105,000","$102,000","118","38122"
"10198510","CLOSD","$112,900","$102,000","66","38127"
"10198509","CLOSD","$112,900","$102,000","54","38127"
"10192533","CLOSD","$119,000","$102,000","99","38127"
"10183029","CLOSD","$109,000","$102,000","204","38108"
"10207091","CLOSD","$120,900","$102,450","19","38128"
"10202287","CLOSD","$110,000","$102,500","22","38117"
"10210769","CLOSD","$109,900","$102,500","35","38116"
"10204471","CLOSD","$115,000","$102,500","26","38118"
"10211240","CLOSD","$102,500","$102,500","0","38107"
"10214686","CLOSD","$119,900","$103,000","5","38127"
"10209556","CLOSD","$105,000","$103,000","2","38128"
"10213034","CLOSD","$104,900","$103,500","18","38118"
"10200698","CLOSD","$107,000","$103,530","38","38127"
"10211103","CLOSD","$109,900","$103,900","91","38127"
"10206560","CLOSD","$125,000","$104,000","18","38118"
"10208324","CLOSD","$115,000","$104,000","43","38127"
"10202183","CLOSD","$105,000","$105,000","3","38111"
"10214536","CLOSD","$100,000","$105,000","6","38117"
"10194142","CLOSD","$117,500","$105,000","28","38109"
"10209248","CLOSD","$105,000","$105,000","91","38111"
"10200154","CLOSD","$99,900","$105,000","22","38109"
"10212610","CLOSD","$110,000","$105,000","6","38109"
"10210648","CLOSD","$130,000","$105,000","6","38116"
"10192971","CLOSD","$119,900","$105,000","75","38109"
"10189577","CLOSD","$115,000","$105,000","202","38111"
"10205067","CLOSD","$125,000","$105,000","35","38115"
